scenario,year,median_warming,prob1.5,prob2.0
Low Demand,2049.0,1.7192202126058207,77.3,20.1
Low Demand,2022.0,1.2644033617356802,4.4,0.0
Low Demand,2021.0,1.2148739962468946,2.1,0.0
Low Demand,2020.0,1.1809031435601696,0.8,0.0
Low Demand,2019.0,1.1739190303998297,0.5,0.0
Low Demand,2018.0,1.1528836326343197,0.1,0.0
Low Demand,2017.0,1.1203663331988658,0.2,0.0
Low Demand,2016.0,1.0911983903633573,0.1,0.0
Low Demand,2015.0,1.070800083988942,0.0,0.0
Low Demand,2014.0,1.043528385197446,0.0,0.0
Low Demand,2013.0,0.9956913778337934,0.0,0.0
Low Demand,2023.0,1.2920725512716202,5.4,0.0
Low Demand,2012.0,0.9736579645122392,0.0,0.0
Low Demand,2010.0,0.9260076885326544,0.0,0.0
Low Demand,2009.0,0.8996208236545413,0.0,0.0
Low Demand,2008.0,0.8732742762977013,0.0,0.0
Low Demand,2007.0,0.8665424458100319,0.0,0.0
Low Demand,2006.0,0.8547382918433127,0.0,0.0
Low Demand,2005.0,0.8439625921988658,0.0,0.0
Low Demand,2004.0,0.8391865374928175,0.0,0.0
Low Demand,2003.0,0.8305049401459249,0.0,0.0
Low Demand,2002.0,0.8207834892371159,0.0,0.0
Low Demand,2050.0,1.717688246452172,75.8,20.7
Low Demand,2011.0,0.951865085218526,0.0,0.0
Low Demand,2024.0,1.3233246379382175,12.1,0.0
Low Demand,2001.0,0.782775546072693,0.0,0.0
Low Demand,2026.0,1.3889557265872892,24.6,0.0
Low Demand,2025.0,1.3604542985383876,17.8,0.0
Low Demand,2047.0,1.697589512330942,75.7,17.6
Low Demand,2046.0,1.6918765375897074,74.2,15.7
Low Demand,2045.0,1.6808267407827246,73.0,16.0
Low Demand,2044.0,1.6708017959080912,73.9,14.4
Low Demand,2043.0,1.6595667719378993,72.9,13.4
Low Demand,2042.0,1.666597526691134,73.7,12.3
Low Demand,2041.0,1.6596861834268697,72.8,12.4
Low Demand,2040.0,1.6641100130140147,73.2,10.8
Low Demand,2039.0,1.6493023565568234,73.7,10.2
Low Demand,2038.0,1.6392496621856605,69.8,8.4
Low Demand,2048.0,1.707977540766508,76.2,19.2
Low Demand,2036.0,1.6005686395275167,66.4,5.9
Low Demand,2035.0,1.5797162712180155,65.0,4.1
Low Demand,2034.0,1.5512060508697367,60.2,3.1
Low Demand,2033.0,1.5340561142653093,54.9,2.2
Low Demand,2032.0,1.514940504839205,53.3,1.4
Low Demand,2031.0,1.500465161032873,50.0,0.8
Low Demand,2030.0,1.4780540925650376,46.0,0.4
Low Demand,2029.0,1.4691350734563116,42.3,0.4
Low Demand,2028.0,1.4323019896160918,35.7,0.1
Low Demand,2027.0,1.4098117436329836,28.2,0.0
Low Demand,2037.0,1.6230980270299789,68.3,7.5
Net Zero 2050,2066.0,1.7049428484795943,71.5,23.3
Net Zero 2050,2067.0,1.711130223879662,72.1,23.9
Net Zero 2050,2068.0,1.7005331198193818,71.9,25.3
Net Zero 2050,2069.0,1.7055405961197678,72.1,24.5
Net Zero 2050,2074.0,1.6837346090000458,68.9,23.4
Net Zero 2050,2071.0,1.7178940804817755,72.0,24.1
Net Zero 2050,2072.0,1.70450797623866,71.5,24.4
Net Zero 2050,2073.0,1.696255607361315,70.9,23.1
Net Zero 2050,2053.0,1.7464787650309324,77.5,23.0
Net Zero 2050,2070.0,1.7127320252222171,73.0,24.4
Net Zero 2050,2065.0,1.7255151450450834,72.6,22.9
Net Zero 2050,2060.0,1.741104242888056,76.9,24.5
Net Zero 2050,2063.0,1.7280039712389723,74.0,23.1
Net Zero 2050,2062.0,1.7348810497966316,76.7,23.7
Net Zero 2050,2061.0,1.7377779609408472,77.0,23.5
Net Zero 2050,2059.0,1.7381631104082305,75.9,24.7
Net Zero 2050,2058.0,1.7494485481200537,75.5,24.9
Net Zero 2050,2057.0,1.7502762749593648,76.1,24.9
Net Zero 2050,2056.0,1.736707675820798,76.1,24.0
Net Zero 2050,2055.0,1.740115808616805,75.2,22.5
Net Zero 2050,2054.0,1.7435808047724677,77.0,22.7
Net Zero 2050,2075.0,1.6885527044159376,68.9,23.4
Net Zero 2050,2064.0,1.7251842507561863,73.6,22.5
Net Zero 2050,2077.0,1.6730837166506278,67.1,22.3
Net Zero 2050,2089.0,1.6383460791105753,63.4,19.8
Net Zero 2050,2079.0,1.67119999715786,66.8,20.7
Net Zero 2050,2052.0,1.743649646030609,78.6,23.6
Net Zero 2050,2101.0,1.6171621597637496,61.4,19.9
Net Zero 2050,2100.0,1.614754097003663,61.7,19.4
Net Zero 2050,2099.0,1.6082326055770724,61.2,19.7
Net Zero 2050,2098.0,1.6263070831910311,62.7,20.1
Net Zero 2050,2097.0,1.641066106130626,64.4,21.0
Net Zero 2050,2096.0,1.6403508964058784,64.8,21.4
Net Zero 2050,2095.0,1.6387519458985338,64.3,21.0
Net Zero 2050,2094.0,1.6424212883007634,64.0,20.7
Net Zero 2050,2093.0,1.6382760786149584,63.9,21.2
Net Zero 2050,2078.0,1.6651061052028786,66.7,20.8
Net Zero 2050,2092.0,1.6388998045820122,63.5,20.2
Net Zero 2050,2090.0,1.627559542512227,63.5,20.6
Net Zero 2050,2088.0,1.6420542721921878,63.2,20.0
Net Zero 2050,2087.0,1.6368643190585093,62.6,19.9
Net Zero 2050,2086.0,1.6391499095870712,64.8,20.1
Net Zero 2050,2085.0,1.647926962064768,65.5,20.7
Net Zero 2050,2084.0,1.6622657526650375,66.0,21.0
Net Zero 2050,2083.0,1.671853698281959,66.3,20.7
Net Zero 2050,2082.0,1.6661904358283042,67.4,21.6
Net Zero 2050,2081.0,1.6732006935558108,67.3,20.8
Net Zero 2050,2080.0,1.6665117949504726,66.5,21.7
Net Zero 2050,2091.0,1.647811853436584,63.5,20.9
Net Zero 2050,2051.0,1.752080025849695,78.6,24.3
Net Zero 2050,2076.0,1.683835351219558,68.0,22.3
Net Zero 2050,2049.0,1.7439904231313403,80.0,22.4
Net Zero 2050,2022.0,1.2641028808011046,4.4,0.0
Net Zero 2050,2021.0,1.2145610797767068,2.1,0.0
Net Zero 2050,2020.0,1.1809031435601696,0.8,0.0
Net Zero 2050,2019.0,1.1739190303998297,0.5,0.0
Net Zero 2050,2018.0,1.1528836326343197,0.1,0.0
Net Zero 2050,2017.0,1.1203663331988658,0.2,0.0
Net Zero 2050,2016.0,1.0911983903633573,0.1,0.0
Net Zero 2050,2015.0,1.070800083988942,0.0,0.0
Net Zero 2050,2014.0,1.043528385197446,0.0,0.0
Net Zero 2050,2013.0,0.9956913778337934,0.0,0.0
Net Zero 2050,2023.0,1.2918980077815805,5.4,0.0
Net Zero 2050,2012.0,0.9736579645122392,0.0,0.0
Net Zero 2050,2010.0,0.9260076885326544,0.0,0.0
Net Zero 2050,2009.0,0.8996208236545413,0.0,0.0
Net Zero 2050,2008.0,0.8732742762977013,0.0,0.0
Net Zero 2050,2007.0,0.8665424458100319,0.0,0.0
Net Zero 2050,2006.0,0.8547382918433127,0.0,0.0
Net Zero 2050,2005.0,0.8439625921988658,0.0,0.0
Net Zero 2050,2004.0,0.8391865374928175,0.0,0.0
Net Zero 2050,2003.0,0.8305049401459249,0.0,0.0
Net Zero 2050,2002.0,0.8207834892371159,0.0,0.0
Net Zero 2050,2001.0,0.782775546072693,0.0,0.0
Net Zero 2050,2011.0,0.951865085218526,0.0,0.0
Net Zero 2050,2024.0,1.3222915477415913,12.0,0.0
Net Zero 2050,2000.0,0.7321267260987722,0.0,0.0
Net Zero 2050,2025.0,1.3602930669374085,17.7,0.0
Net Zero 2050,2048.0,1.728755373589827,79.0,21.6
Net Zero 2050,2047.0,1.7192711754428491,78.3,19.5
Net Zero 2050,2046.0,1.7084014777807652,76.1,16.5
Net Zero 2050,2045.0,1.6945344924489996,74.9,17.2
Net Zero 2050,2044.0,1.6880799061153726,75.7,15.5
Net Zero 2050,2043.0,1.6735250761831848,75.1,14.3
Net Zero 2050,2042.0,1.680663427191602,75.3,12.7
Net Zero 2050,2041.0,1.668816639595834,74.2,12.8
Net Zero 2050,2040.0,1.6721466553399071,74.2,11.3
Net Zero 2050,2039.0,1.656583120496741,74.8,10.4
Net Zero 2050,2038.0,1.6454703668925044,70.4,8.6
Net Zero 2050,2050.0,1.7455849343008525,78.6,22.6
Net Zero 2050,2036.0,1.6023779133572658,66.7,5.9
Net Zero 2050,2037.0,1.6280911100938784,69.2,7.4
Net Zero 2050,2027.0,1.4096210475092712,28.1,0.0
Net Zero 2050,2028.0,1.4319029914514567,35.4,0.1
Net Zero 2050,2029.0,1.4677555420396278,42.3,0.4
Net Zero 2050,2030.0,1.4774713929965444,45.7,0.4
Net Zero 2050,2026.0,1.389088404389912,24.5,0.0
Net Zero 2050,2032.0,1.5134342319598422,53.1,1.3
Net Zero 2050,2033.0,1.5319590881298784,55.0,2.1
Net Zero 2050,2034.0,1.5517618293113074,60.3,3.0
Net Zero 2050,2035.0,1.5800372223183314,65.2,3.9
Net Zero 2050,2031.0,1.4974181900645192,49.5,0.7
Below 2°C,2065.0,1.874273545642576,85.2,36.4
Below 2°C,2073.0,1.8705110927856736,84.3,37.9
Below 2°C,2072.0,1.8742538673644729,85.4,38.1
Below 2°C,2071.0,1.8807093093834253,84.3,37.7
Below 2°C,2070.0,1.8773342238087705,85.4,37.9
Below 2°C,2069.0,1.8637366762834944,86.7,38.2
Below 2°C,2068.0,1.8565573009616445,86.3,36.7
Below 2°C,2067.0,1.864086607341344,86.6,35.9
Below 2°C,2066.0,1.8567271063413413,85.4,34.7
Below 2°C,2064.0,1.8683047094876164,86.3,34.8
Below 2°C,2058.0,1.866385446525649,85.7,35.2
Below 2°C,2062.0,1.8665903109078916,86.9,35.3
Below 2°C,2061.0,1.867382491445708,87.7,35.9
Below 2°C,2060.0,1.8681610873977972,86.5,35.7
Below 2°C,2059.0,1.8646397037666171,86.5,36.3
Below 2°C,2074.0,1.857439812007387,84.2,38.4
Below 2°C,2057.0,1.8663060866558072,85.6,33.8
Below 2°C,2056.0,1.8391120674031116,85.0,32.6
Below 2°C,2055.0,1.8439846167740896,84.5,32.0
Below 2°C,2054.0,1.834287867096048,85.5,30.7
Below 2°C,2053.0,1.8328644074950344,85.8,30.4
Below 2°C,2052.0,1.8330260225258836,85.7,31.2
Below 2°C,2063.0,1.869412405298145,86.9,34.8
Below 2°C,2075.0,1.8687410503140964,83.8,39.5
Below 2°C,2081.0,1.8671109675604984,83.4,36.6
Below 2°C,2077.0,1.8588906654604136,83.8,37.5
Below 2°C,2051.0,1.8311162819929263,86.1,30.2
Below 2°C,2100.0,1.8409412665102387,80.0,35.9
Below 2°C,2099.0,1.838914757484313,81.3,36.0
Below 2°C,2098.0,1.8425330898030907,80.8,36.3
Below 2°C,2097.0,1.855241016052345,80.9,37.3
Below 2°C,2096.0,1.856046130122936,81.5,36.9
Below 2°C,2095.0,1.8494927014886189,82.1,37.8
Below 2°C,2094.0,1.847671637020652,82.4,38.1
Below 2°C,2093.0,1.852349462376509,83.2,37.5
Below 2°C,2092.0,1.8480619280297144,82.0,36.5
Below 2°C,2091.0,1.8500541532088324,81.1,36.9
Below 2°C,2090.0,1.833580117239595,80.9,37.3
Below 2°C,2089.0,1.845760483222384,80.9,37.3
Below 2°C,2101.0,1.835765078265865,80.1,36.6
Below 2°C,2087.0,1.8388867841028247,82.0,36.1
Below 2°C,2086.0,1.8416709763612888,81.7,35.5
Below 2°C,2085.0,1.8504551332671133,82.9,37.5
Below 2°C,2084.0,1.8576780884162232,83.2,38.2
Below 2°C,2083.0,1.8643792453838532,82.6,37.3
Below 2°C,2082.0,1.8564669882677425,82.8,37.1
Below 2°C,2080.0,1.862770625966762,83.4,36.9
Below 2°C,2079.0,1.8655661852419947,83.6,36.7
Below 2°C,2078.0,1.8556489842172372,84.8,36.7
Below 2°C,2076.0,1.86753420566654,83.7,37.7
Below 2°C,2088.0,1.847924909452544,80.0,37.1
Below 2°C,2050.0,1.817099194330794,86.2,27.9
Below 2°C,2048.0,1.7923278389577406,85.9,25.5
Below 2°C,2021.0,1.214935306148318,2.1,0.0
Below 2°C,2020.0,1.1809031435601696,0.8,0.0
Below 2°C,2019.0,1.1739190303998297,0.5,0.0
Below 2°C,2018.0,1.1528836326343197,0.1,0.0
Below 2°C,2017.0,1.1203663331988658,0.2,0.0
Below 2°C,2016.0,1.0911983903633573,0.1,0.0
Below 2°C,2015.0,1.070800083988942,0.0,0.0
Below 2°C,2014.0,1.043528385197446,0.0,0.0
Below 2°C,2013.0,0.9956913778337934,0.0,0.0
Below 2°C,2011.0,0.951865085218526,0.0,0.0
Below 2°C,2022.0,1.2641583684252704,4.3,0.0
Below 2°C,2010.0,0.9260076885326544,0.0,0.0
Below 2°C,2008.0,0.8732742762977013,0.0,0.0
Below 2°C,2007.0,0.8665424458100319,0.0,0.0
Below 2°C,2006.0,0.8547382918433127,0.0,0.0
Below 2°C,2005.0,0.8439625921988658,0.0,0.0
Below 2°C,2004.0,0.8391865374928175,0.0,0.0
Below 2°C,2003.0,0.8305049401459249,0.0,0.0
Below 2°C,2002.0,0.8207834892371159,0.0,0.0
Below 2°C,2001.0,0.782775546072693,0.0,0.0
Below 2°C,2000.0,0.7321267260987722,0.0,0.0
Below 2°C,2049.0,1.8140437790958168,86.4,28.4
Below 2°C,2009.0,0.8996208236545413,0.0,0.0
Below 2°C,2023.0,1.291554746063582,5.3,0.0
Below 2°C,2012.0,0.9736579645122392,0.0,0.0
Below 2°C,2025.0,1.3593566011670806,17.5,0.0
Below 2°C,2047.0,1.7756074025341144,83.7,24.0
Below 2°C,2024.0,1.3212423267033122,12.0,0.0
Below 2°C,2046.0,1.7581860819867197,82.4,21.4
Below 2°C,2045.0,1.7428011349638868,81.0,20.3
Below 2°C,2044.0,1.7333908268089884,80.6,18.4
Below 2°C,2043.0,1.7114188153588203,79.3,16.8
Below 2°C,2042.0,1.7077342587215825,79.9,15.1
Below 2°C,2040.0,1.6956014980265894,77.4,12.6
Below 2°C,2039.0,1.6729462708422531,77.6,11.2
Below 2°C,2038.0,1.656580413935936,73.4,9.2
Below 2°C,2037.0,1.6390202558466511,71.3,7.8
Below 2°C,2041.0,1.6956554329715772,79.2,14.0
Below 2°C,2035.0,1.5853187630509489,66.3,3.7
Below 2°C,2026.0,1.3882450852411616,24.4,0.0
Below 2°C,2036.0,1.6079778135624303,68.5,6.0
Below 2°C,2028.0,1.4305428306647534,34.9,0.1
Below 2°C,2029.0,1.4646883127702617,41.8,0.4
Below 2°C,2030.0,1.4754675878668764,45.3,0.4
Below 2°C,2027.0,1.4087243355866637,28.1,0.0
Below 2°C,2032.0,1.5125632202015449,52.8,1.2
Below 2°C,2033.0,1.5305521655653187,55.1,1.9
Below 2°C,2034.0,1.5533463855073697,61.3,3.0
Below 2°C,2031.0,1.495307459475672,48.9,0.6
Delayed Transition,2065.0,1.9026941968424556,87.6,39.4
Delayed Transition,2074.0,1.8811258115364928,85.7,40.2
Delayed Transition,2073.0,1.896228771261788,86.2,40.1
Delayed Transition,2072.0,1.9007536949328443,87.6,40.1
Delayed Transition,2071.0,1.9074649319005303,86.0,39.5
Delayed Transition,2070.0,1.900655525210416,86.7,39.6
Delayed Transition,2069.0,1.8889621137403352,88.6,40.4
Delayed Transition,2068.0,1.8829031714578452,88.1,38.8
Delayed Transition,2067.0,1.8917839405768768,88.0,38.6
Delayed Transition,2066.0,1.8875686645947864,87.4,37.5
Delayed Transition,2064.0,1.8949637807549804,87.8,37.7
Delayed Transition,2053.0,1.868794785182924,88.8,34.5
Delayed Transition,2062.0,1.898480543633536,88.9,38.5
Delayed Transition,2061.0,1.8994529692541795,89.4,38.2
Delayed Transition,2060.0,1.9010357236621265,88.9,39.1
Delayed Transition,2059.0,1.8957527481377523,88.7,39.2
Delayed Transition,2058.0,1.9034106425826065,88.2,38.8
Delayed Transition,2057.0,1.905991856230228,87.9,38.0
Delayed Transition,2056.0,1.8791481665276408,88.3,37.1
Delayed Transition,2055.0,1.8825471286870257,86.9,36.0
Delayed Transition,2054.0,1.87012360800316,88.3,34.6
Delayed Transition,2075.0,1.88909068221746,85.6,41.0
Delayed Transition,2063.0,1.8984566324078065,88.7,38.0
Delayed Transition,2076.0,1.8909947868319716,85.7,39.6
Delayed Transition,2101.0,1.845889696628173,81.3,37.6
Delayed Transition,2078.0,1.876417186413465,86.1,38.6
Delayed Transition,2052.0,1.870009410581869,89.0,34.9
Delayed Transition,2100.0,1.853504236712209,81.0,37.5
Delayed Transition,2099.0,1.856393991467731,82.0,37.7
Delayed Transition,2098.0,1.8608157825853056,82.2,37.9
Delayed Transition,2097.0,1.8701591191053504,81.9,38.8
Delayed Transition,2096.0,1.869703260395663,82.8,38.2
Delayed Transition,2095.0,1.8657665977215256,83.0,39.4
Delayed Transition,2094.0,1.865264656013097,83.6,39.5
Delayed Transition,2093.0,1.866224969820517,84.5,39.2
Delayed Transition,2092.0,1.8650594089526835,83.7,38.0
Delayed Transition,2091.0,1.8655691465527773,82.5,38.6
Delayed Transition,2090.0,1.8481949954333077,82.3,39.0
Delayed Transition,2089.0,1.8623065111360733,82.2,38.7
Delayed Transition,2088.0,1.8639446011379424,81.8,38.8
Delayed Transition,2087.0,1.8579177095138253,83.7,38.2
Delayed Transition,2086.0,1.8583507084537292,83.2,37.3
Delayed Transition,2085.0,1.8735289879270576,84.5,39.1
Delayed Transition,2084.0,1.881354358074093,84.9,39.6
Delayed Transition,2083.0,1.892221065787865,84.3,39.6
Delayed Transition,2082.0,1.8766310187169613,84.6,38.8
Delayed Transition,2081.0,1.891676536670464,84.9,38.7
Delayed Transition,2080.0,1.8862846949956635,84.7,39.0
Delayed Transition,2079.0,1.8815092529030712,85.4,38.4
Delayed Transition,2077.0,1.8820489766908548,85.3,39.4
Delayed Transition,2051.0,1.869702559766555,88.9,34.4
Delayed Transition,2050.0,1.8574272891876444,88.9,31.9
Delayed Transition,2049.0,1.85063226677482,88.8,32.4
Delayed Transition,2022.0,1.2637544739344635,4.3,0.0
Delayed Transition,2021.0,1.21537084765903,2.0,0.0
Delayed Transition,2020.0,1.1809031435601696,0.8,0.0
Delayed Transition,2019.0,1.1739190303998297,0.5,0.0
Delayed Transition,2018.0,1.1528836326343197,0.1,0.0
Delayed Transition,2017.0,1.1203663331988658,0.2,0.0
Delayed Transition,2016.0,1.0911983903633573,0.1,0.0
Delayed Transition,2015.0,1.070800083988942,0.0,0.0
Delayed Transition,2014.0,1.043528385197446,0.0,0.0
Delayed Transition,2013.0,0.9956913778337934,0.0,0.0
Delayed Transition,2023.0,1.291914625505799,5.3,0.0
Delayed Transition,2012.0,0.9736579645122392,0.0,0.0
Delayed Transition,2010.0,0.9260076885326544,0.0,0.0
Delayed Transition,2009.0,0.8996208236545413,0.0,0.0
Delayed Transition,2008.0,0.8732742762977013,0.0,0.0
Delayed Transition,2007.0,0.8665424458100319,0.0,0.0
Delayed Transition,2006.0,0.8547382918433127,0.0,0.0
Delayed Transition,2005.0,0.8439625921988658,0.0,0.0
Delayed Transition,2004.0,0.8391865374928175,0.0,0.0
Delayed Transition,2003.0,0.8305049401459249,0.0,0.0
Delayed Transition,2002.0,0.8207834892371159,0.0,0.0
Delayed Transition,2001.0,0.782775546072693,0.0,0.0
Delayed Transition,2011.0,0.951865085218526,0.0,0.0
Delayed Transition,2024.0,1.3211618969852774,12.0,0.0
Delayed Transition,2000.0,0.7321267260987722,0.0,0.0
Delayed Transition,2026.0,1.3878697092424557,24.3,0.0
Delayed Transition,2048.0,1.8324076072504163,89.2,28.8
Delayed Transition,2047.0,1.8166398128075112,87.1,27.0
Delayed Transition,2046.0,1.7989137403205289,85.5,25.9
Delayed Transition,2045.0,1.7798982980542433,84.5,23.4
Delayed Transition,2044.0,1.7707518108232838,84.0,21.8
Delayed Transition,2043.0,1.7462460977034844,83.2,19.7
Delayed Transition,2025.0,1.3589092248483103,17.3,0.0
Delayed Transition,2041.0,1.724583271757731,81.8,16.1
Delayed Transition,2040.0,1.7208230622424938,80.4,14.2
Delayed Transition,2039.0,1.6967089684859895,80.3,12.6
Delayed Transition,2038.0,1.6741773020148996,76.1,9.7
Delayed Transition,2042.0,1.7405283989486566,83.3,18.1
Delayed Transition,2036.0,1.6177632538642177,70.4,6.1
Delayed Transition,2035.0,1.58964967813819,67.6,3.8
Delayed Transition,2034.0,1.5566825956689492,61.6,2.7
Delayed Transition,2033.0,1.5296470178573325,54.9,1.8
Delayed Transition,2032.0,1.5082673039314654,51.8,1.1
Delayed Transition,2031.0,1.4880017783017687,47.5,0.4
Delayed Transition,2030.0,1.469175834331637,43.9,0.3
Delayed Transition,2029.0,1.4581520484581891,40.8,0.4
Delayed Transition,2028.0,1.427328945794051,34.0,0.1
Delayed Transition,2027.0,1.40694934093274,27.4,0.0
Delayed Transition,2037.0,1.653537005063561,73.0,8.2
Fragmented World,2067.0,2.103912189908332,96.6,60.9
Fragmented World,2068.0,2.1099819968726865,97.5,60.6
Fragmented World,2069.0,2.123330688479597,97.3,62.0
Fragmented World,2070.0,2.1390518586107383,97.0,63.7
Fragmented World,2075.0,2.177822345704331,97.5,64.7
Fragmented World,2072.0,2.152172841045062,97.5,64.6
Fragmented World,2073.0,2.16135505814678,96.7,64.6
Fragmented World,2074.0,2.1544284420737765,97.7,63.7
Fragmented World,2071.0,2.14464413725011,96.9,64.6
Fragmented World,2066.0,2.083048718005297,96.3,59.1
Fragmented World,2054.0,1.972193522271188,93.4,46.3
Fragmented World,2064.0,2.0844984202879573,96.9,59.0
Fragmented World,2063.0,2.0753543309225995,96.4,57.2
Fragmented World,2062.0,2.063404097018242,95.9,57.3
Fragmented World,2061.0,2.058583200632048,95.6,56.8
Fragmented World,2060.0,2.052073417162311,96.1,55.5
Fragmented World,2059.0,2.038094482600614,96.2,54.1
Fragmented World,2058.0,2.0414755469951835,95.8,54.3
Fragmented World,2057.0,2.025121461254723,95.3,52.3
Fragmented World,2056.0,1.995229590322816,94.7,49.5
Fragmented World,2055.0,1.9898183965169904,94.7,48.4
Fragmented World,2076.0,2.182252817999633,97.1,66.0
Fragmented World,2065.0,2.096055459405445,96.6,58.6
Fragmented World,2077.0,2.183069713403222,97.7,65.9
Fragmented World,2089.0,2.275148003022045,98.3,71.8
Fragmented World,2079.0,2.193752427590611,97.6,67.3
Fragmented World,2053.0,1.9641370840880532,94.8,45.6
Fragmented World,2101.0,2.359305559189444,98.9,77.6
Fragmented World,2100.0,2.3599928885911594,98.5,77.5
Fragmented World,2099.0,2.3450562240232675,98.5,77.0
Fragmented World,2098.0,2.3425708610771,98.7,77.0
Fragmented World,2097.0,2.352571136593306,98.5,77.1
Fragmented World,2096.0,2.338516036162481,98.3,77.2
Fragmented World,2095.0,2.3369298303970374,98.3,76.4
Fragmented World,2094.0,2.330311429613314,98.4,76.2
Fragmented World,2093.0,2.318868758116435,98.5,75.9
Fragmented World,2078.0,2.1841536039826983,97.7,66.0
Fragmented World,2092.0,2.2976956172869585,98.7,74.2
Fragmented World,2090.0,2.280629579880193,98.3,72.5
Fragmented World,2088.0,2.266567134533534,98.4,70.6
Fragmented World,2087.0,2.244529859283245,98.3,70.3
Fragmented World,2086.0,2.243154127758485,98.2,70.6
Fragmented World,2085.0,2.2393738998296726,97.9,70.6
Fragmented World,2084.0,2.238963063935399,97.6,70.6
Fragmented World,2083.0,2.2391623824709037,97.9,69.7
Fragmented World,2082.0,2.2232731383427824,97.9,70.0
Fragmented World,2081.0,2.224708566932388,97.7,69.0
Fragmented World,2080.0,2.2125557976554706,97.7,67.6
Fragmented World,2091.0,2.298556703755266,98.3,73.4
Fragmented World,2052.0,1.9564528426941068,94.4,44.6
Fragmented World,2051.0,1.9440218038380757,93.6,42.6
Fragmented World,2000.0,0.7321267260987722,0.0,0.0
Fragmented World,2022.0,1.263793325470561,4.3,0.0
Fragmented World,2021.0,1.21537084765903,2.0,0.0
Fragmented World,2020.0,1.1809031435601696,0.8,0.0
Fragmented World,2019.0,1.1739190303998297,0.5,0.0
Fragmented World,2018.0,1.1528836326343197,0.1,0.0
Fragmented World,2017.0,1.1203663331988658,0.2,0.0
Fragmented World,2016.0,1.0911983903633573,0.1,0.0
Fragmented World,2015.0,1.070800083988942,0.0,0.0
Fragmented World,2014.0,1.043528385197446,0.0,0.0
Fragmented World,2012.0,0.9736579645122392,0.0,0.0
Fragmented World,2023.0,1.291914625505799,5.3,0.0
Fragmented World,2011.0,0.951865085218526,0.0,0.0
Fragmented World,2009.0,0.8996208236545413,0.0,0.0
Fragmented World,2008.0,0.8732742762977013,0.0,0.0
Fragmented World,2007.0,0.8665424458100319,0.0,0.0
Fragmented World,2006.0,0.8547382918433127,0.0,0.0
Fragmented World,2005.0,0.8439625921988658,0.0,0.0
Fragmented World,2004.0,0.8391865374928175,0.0,0.0
Fragmented World,2003.0,0.8305049401459249,0.0,0.0
